sample, ageCE, CO2, citation
DSS, "968.2", "278.5", "MacFM 2004/2006"
DSS, "944.2", "279.1", "MacFM 2004/2006"
DSS, "897.4", "278.9", "MacFM 2004/2006"
DSS, "857.3", "279.3", "MacFM 2004/2006"
DSS, "799.2", "278.5", "MacFM 2004/2006"
DSS, "764.5", "278.5", "MacFM 2004/2006"
DSS, "729.7", "278.5", "MacFM 2004/2006"
DSS, "698.4", "279.7", "MacFM 2004/2006"
DSS, "667.9", "279.4", "MacFM 2004/2006"
DSS, "632.0", "278.3", "MacFM 2004/2006"
DSS, "595.6", "276.9", "MacFM 2004/2006"
DSS, "572.0", "277.6", "MacFM 2004/2006"
DSS, "536.7", "276.0", "MacFM 2004/2006"
DSS, "499.8", "276.4", "MacFM 2004/2006"
DSS, "461.2", "276.7", "MacFM 2004/2006"
DSS, "428.4", "276.9", "MacFM 2004/2006"
DSS, "364.6", "277.0", "MacFM 2004/2006"
DSS, "329.2", "278.9", "MacFM 2004/2006"
DSS, "302.3", "279.8", "MacFM 2004/2006"
DSS, "274.2", "280.1", "MacFM 2004/2006"
DSS, "227.9", "281.5", "MacFM 2004/2006"
DSS, "202.5", "280.7", "MacFM 2004/2006"
DSS, "168.2", "280.1", "MacFM 2004/2006"
DSS, "136.0", "278.1", "MacFM 2004/2006"
DSS, "104.5", "277.5", "MacFM 2004/2006"
DSS, "56.0", "277.4", "MacFM 2004/2006"
DSS, "29.5", "277.9", "MacFM 2004/2006"
DSS, "13.3", "276.7", "MacFM 2004/2006"
