CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
оч╢щел,1971,4,121.00,24.95,1.2014,
оч╢щел,1971,5,121.00,24.95,2.51219,
оч╢щел,1971,6,121.00,24.95,3.8303,
оч╢щел,1971,7,121.00,24.95,1.20649,
оч╢щел,1971,8,121.00,24.95,0.47886,
оч╢щел,1971,9,121.00,24.95,9.41632,
оч╢щел,1971,10,121.00,24.95,2.06454,
оч╢щел,1971,11,121.00,24.95,1.47849,
оч╢щел,1971,12,121.00,24.95,1.70549,
оч╢щел,1972,1,121.00,24.95,2.85828,
оч╢щел,1972,2,121.00,24.95,2.01755,
оч╢щел,1972,3,121.00,24.95,0.573021,
оч╢щел,1972,4,121.00,24.95,1.65385,
оч╢щел,1972,5,121.00,24.95,8.65372,
оч╢щел,1972,6,121.00,24.95,4.4584,
оч╢щел,1972,7,121.00,24.95,6.26783,
оч╢щел,1972,8,121.00,24.95,9.80856,
оч╢щел,1972,9,121.00,24.95,0.00623587,
оч╢щел,1972,10,121.00,24.95,0.167642,
оч╢щел,1972,11,121.00,24.95,1.33595,
оч╢щел,1972,12,121.00,24.95,2.1681,
оч╢щел,1973,1,121.00,24.95,3.22046,
оч╢щел,1973,2,121.00,24.95,2.12163,
оч╢щел,1973,3,121.00,24.95,1.61157,
оч╢щел,1973,4,121.00,24.95,8.98208,
оч╢щел,1973,5,121.00,24.95,5.77324,
оч╢щел,1973,6,121.00,24.95,7.94078,
оч╢щел,1973,7,121.00,24.95,1.09845,
оч╢щел,1973,8,121.00,24.95,4.05781,
оч╢щел,1973,9,121.00,24.95,0.00484409,
оч╢щел,1973,10,121.00,24.95,2.26283,
оч╢щел,1973,11,121.00,24.95,1.18654,
оч╢щел,1973,12,121.00,24.95,0.0938369,
оч╢щел,1974,1,121.00,24.95,0.093588,
оч╢щел,1974,2,121.00,24.95,3.23787,
оч╢щел,1974,3,121.00,24.95,2.48013,
оч╢щел,1974,4,121.00,24.95,6.15975,
оч╢щел,1974,5,121.00,24.95,9.75473,
оч╢щел,1974,6,121.00,24.95,18.4527,
оч╢щел,1974,7,121.00,24.95,4.7466,
оч╢щел,1974,8,121.00,24.95,2.82456,
оч╢щел,1974,9,121.00,24.95,0.975826,
оч╢щел,1974,10,121.00,24.95,2.14271,
оч╢щел,1974,11,121.00,24.95,0.656198,
оч╢щел,1974,12,121.00,24.95,3.03325,
оч╢щел,1975,1,121.00,24.95,2.90164,
оч╢щел,1975,2,121.00,24.95,2.70293,
оч╢щел,1975,3,121.00,24.95,8.22863,
оч╢щел,1975,4,121.00,24.95,3.06279,
оч╢щел,1975,5,121.00,24.95,6.50262,
оч╢щел,1975,6,121.00,24.95,11.3344,
оч╢щел,1975,7,121.00,24.95,0.888109,
оч╢щел,1975,8,121.00,24.95,4.38835,
оч╢щел,1975,9,121.00,24.95,2.38764,
оч╢щел,1975,10,121.00,24.95,2.62469,
оч╢щел,1975,11,121.00,24.95,1.34265,
оч╢щел,1975,12,121.00,24.95,3.72923,
оч╢щел,1976,1,121.00,24.95,0.770184,
оч╢щел,1976,2,121.00,24.95,1.66575,
оч╢щел,1976,3,121.00,24.95,2.88347,
оч╢щел,1976,4,121.00,24.95,3.77538,
оч╢щел,1976,5,121.00,24.95,8.33401,
оч╢щел,1976,6,121.00,24.95,4.83249,
оч╢щел,1976,7,121.00,24.95,9.21709,
оч╢щел,1976,8,121.00,24.95,3.9403,
оч╢щел,1976,9,121.00,24.95,1.38176,
оч╢щел,1976,10,121.00,24.95,1.0134,
оч╢щел,1976,11,121.00,24.95,0.552967,
оч╢щел,1976,12,121.00,24.95,0.472628,
оч╢щел,1977,1,121.00,24.95,3.83035,
оч╢щел,1977,2,121.00,24.95,2.49922,
оч╢щел,1977,3,121.00,24.95,1.01365,
оч╢щел,1977,4,121.00,24.95,1.27549,
оч╢щел,1977,5,121.00,24.95,4.20437,
оч╢щел,1977,6,121.00,24.95,14.2287,
оч╢щел,1977,7,121.00,24.95,10.049,
оч╢щел,1977,8,121.00,24.95,3.47254,
оч╢щел,1977,9,121.00,24.95,3.54642,
оч╢щел,1977,10,121.00,24.95,0,
оч╢щел,1977,11,121.00,24.95,2.25696,
оч╢щел,1977,12,121.00,24.95,3.78849,
оч╢щел,1978,1,121.00,24.95,1.33405,
оч╢щел,1978,2,121.00,24.95,1.62309,
оч╢щел,1978,3,121.00,24.95,10.8136,
оч╢щел,1978,4,121.00,24.95,5.90443,
оч╢щел,1978,5,121.00,24.95,9.06834,
оч╢щел,1978,6,121.00,24.95,3.04042,
оч╢щел,1978,7,121.00,24.95,0.146984,
оч╢щел,1978,8,121.00,24.95,1.16369,
оч╢щел,1978,9,121.00,24.95,5.5991,
оч╢щел,1978,10,121.00,24.95,6.93588,
оч╢щел,1978,11,121.00,24.95,0.00196846,
оч╢щел,1978,12,121.00,24.95,2.25781,
оч╢щел,1979,1,121.00,24.95,1.02173,
оч╢щел,1979,2,121.00,24.95,1.17965,
оч╢щел,1979,3,121.00,24.95,7.00212,
оч╢щел,1979,4,121.00,24.95,3.18281,
оч╢щел,1979,5,121.00,24.95,5.08072,
оч╢щел,1979,6,121.00,24.95,14.8129,
оч╢щел,1979,7,121.00,24.95,0,
оч╢щел,1979,8,121.00,24.95,4.0261,
оч╢щел,1979,9,121.00,24.95,0.643747,
оч╢щел,1979,10,121.00,24.95,0.938958,
оч╢щел,1979,11,121.00,24.95,1.81381,
оч╢щел,1979,12,121.00,24.95,0.0247273,
оч╢щел,1980,1,121.00,24.95,3.1869,
оч╢щел,1980,2,121.00,24.95,4.87365,
оч╢щел,1980,3,121.00,24.95,2.90825,
оч╢щел,1980,4,121.00,24.95,4.94248,
оч╢щел,1980,5,121.00,24.95,4.02807,
оч╢щел,1980,6,121.00,24.95,0,
оч╢щел,1980,7,121.00,24.95,0.83204,
оч╢щел,1980,8,121.00,24.95,3.72058,
оч╢щел,1980,9,121.00,24.95,1.86959,
оч╢щел,1980,10,121.00,24.95,1.126,
оч╢щел,1980,11,121.00,24.95,0.461109,
оч╢щел,1980,12,121.00,24.95,0.0786316,
оч╢щел,1981,1,121.00,24.95,0,
оч╢щел,1981,2,121.00,24.95,2.96018,
оч╢щел,1981,3,121.00,24.95,4.07121,
оч╢щел,1981,4,121.00,24.95,2.43954,
оч╢щел,1981,5,121.00,24.95,19.4658,
оч╢щел,1981,6,121.00,24.95,11.7159,
оч╢щел,1981,7,121.00,24.95,11.5601,
оч╢щел,1981,8,121.00,24.95,1.22186,
оч╢щел,1981,9,121.00,24.95,2.06492,
оч╢щел,1981,10,121.00,24.95,0.143435,
оч╢щел,1981,11,121.00,24.95,4.0214,
оч╢щел,1981,12,121.00,24.95,2.57403,
оч╢щел,1982,1,121.00,24.95,0.149538,
оч╢щел,1982,2,121.00,24.95,3.64004,
оч╢щел,1982,3,121.00,24.95,4.61762,
оч╢щел,1982,4,121.00,24.95,5.62868,
оч╢щел,1982,5,121.00,24.95,5.12444,
оч╢щел,1982,6,121.00,24.95,14.5512,
оч╢щел,1982,7,121.00,24.95,4.02136,
оч╢щел,1982,8,121.00,24.95,3.30645,
оч╢щел,1982,9,121.00,24.95,0.164708,
оч╢щел,1982,10,121.00,24.95,0.0993016,
оч╢щел,1982,11,121.00,24.95,3.80482,
оч╢щел,1982,12,121.00,24.95,1.63494,
оч╢щел,1983,1,121.00,24.95,3.45992,
оч╢щел,1983,2,121.00,24.95,12.5644,
оч╢щел,1983,3,121.00,24.95,17.1706,
оч╢щел,1983,4,121.00,24.95,2.59622,
оч╢щел,1983,5,121.00,24.95,8.19184,
оч╢щел,1983,6,121.00,24.95,2.70649,
оч╢щел,1983,7,121.00,24.95,1.11182,
оч╢щел,1983,8,121.00,24.95,1.76053,
оч╢щел,1983,9,121.00,24.95,1.30033,
оч╢щел,1983,10,121.00,24.95,0.00297965,
оч╢щел,1983,11,121.00,24.95,0.0422437,
оч╢щел,1983,12,121.00,24.95,1.62237,
оч╢щел,1984,1,121.00,24.95,1.17833,
оч╢щел,1984,2,121.00,24.95,2.34254,
оч╢щел,1984,3,121.00,24.95,7.61621,
оч╢щел,1984,4,121.00,24.95,10.4852,
оч╢щел,1984,5,121.00,24.95,12.4057,
оч╢щел,1984,6,121.00,24.95,5.53701,
оч╢щел,1984,7,121.00,24.95,1.14896,
оч╢щел,1984,8,121.00,24.95,8.23996,
оч╢щел,1984,9,121.00,24.95,1.56773,
оч╢щел,1984,10,121.00,24.95,0.437091,
оч╢щел,1984,11,121.00,24.95,0.801584,
оч╢щел,1984,12,121.00,24.95,0.377121,
оч╢щел,1985,1,121.00,24.95,1.63669,
оч╢щел,1985,2,121.00,24.95,15.4531,
оч╢щел,1985,3,121.00,24.95,4.34829,
оч╢щел,1985,4,121.00,24.95,4.68753,
оч╢щел,1985,5,121.00,24.95,5.087,
оч╢щел,1985,6,121.00,24.95,4.93242,
оч╢щел,1985,7,121.00,24.95,2.61114,
оч╢щел,1985,8,121.00,24.95,4.58448,
оч╢щел,1985,9,121.00,24.95,1.29029,
оч╢щел,1985,10,121.00,24.95,1.05805,
оч╢щел,1985,11,121.00,24.95,0.969791,
оч╢щел,1985,12,121.00,24.95,2.95183,
оч╢щел,1986,1,121.00,24.95,0.423553,
оч╢щел,1986,2,121.00,24.95,4.71711,
оч╢щел,1986,3,121.00,24.95,11.4087,
оч╢щел,1986,4,121.00,24.95,1.02664,
оч╢щел,1986,5,121.00,24.95,8.49605,
оч╢щел,1986,6,121.00,24.95,5.89049,
оч╢щел,1986,7,121.00,24.95,0.266258,
оч╢щел,1986,8,121.00,24.95,4.83412,
оч╢щел,1986,9,121.00,24.95,4.49329,
оч╢щел,1986,10,121.00,24.95,0.497813,
оч╢щел,1986,11,121.00,24.95,4.69499,
оч╢щел,1986,12,121.00,24.95,0.586751,
оч╢щел,1987,1,121.00,24.95,2.42309,
оч╢щел,1987,2,121.00,24.95,1.3316,
оч╢щел,1987,3,121.00,24.95,8.11771,
оч╢щел,1987,4,121.00,24.95,3.71086,
оч╢щел,1987,5,121.00,24.95,7.20159,
оч╢щел,1987,6,121.00,24.95,4.47479,
оч╢щел,1987,7,121.00,24.95,2.51443,
оч╢щел,1987,8,121.00,24.95,0.360695,
оч╢щел,1987,9,121.00,24.95,7.16386,
оч╢щел,1987,10,121.00,24.95,3.43277,
оч╢щел,1987,11,121.00,24.95,4.13413,
оч╢щел,1987,12,121.00,24.95,0.204676,
оч╢щел,1988,1,121.00,24.95,2.61448,
оч╢щел,1988,2,121.00,24.95,2.19696,
оч╢щел,1988,3,121.00,24.95,6.32825,
оч╢щел,1988,4,121.00,24.95,8.00719,
оч╢щел,1988,5,121.00,24.95,6.06258,
оч╢щел,1988,6,121.00,24.95,0.582859,
оч╢щел,1988,7,121.00,24.95,2.33651,
оч╢щел,1988,8,121.00,24.95,1.78545,
оч╢щел,1988,9,121.00,24.95,2.93466,
оч╢щел,1988,10,121.00,24.95,1.08017,
оч╢щел,1988,11,121.00,24.95,0.716707,
оч╢щел,1988,12,121.00,24.95,0.30615,
оч╢щел,1989,1,121.00,24.95,1.52956,
оч╢щел,1989,2,121.00,24.95,0.83542,
оч╢щел,1989,3,121.00,24.95,2.85977,
оч╢щел,1989,4,121.00,24.95,5.81811,
оч╢щел,1989,5,121.00,24.95,5.68888,
оч╢щел,1989,6,121.00,24.95,0.894238,
оч╢щел,1989,7,121.00,24.95,5.84329,
оч╢щел,1989,8,121.00,24.95,1.12259,
оч╢щел,1989,9,121.00,24.95,2.63694,
оч╢щел,1989,10,121.00,24.95,0.56133,
оч╢щел,1989,11,121.00,24.95,0.401584,
оч╢щел,1989,12,121.00,24.95,1.42897,
оч╢щел,1990,1,121.00,24.95,2.98791,
оч╢щел,1990,2,121.00,24.95,4.40215,
оч╢щел,1990,3,121.00,24.95,2.46458,
оч╢щел,1990,4,121.00,24.95,16.708,
оч╢щел,1990,5,121.00,24.95,2.13676,
оч╢щел,1990,6,121.00,24.95,11.7998,
оч╢щел,1990,7,121.00,24.95,0.475414,
оч╢щел,1990,8,121.00,24.95,10.3142,
оч╢щел,1990,9,121.00,24.95,5.21205,
оч╢щел,1990,10,121.00,24.95,0.0844464,
оч╢щел,1990,11,121.00,24.95,0.242166,
оч╢щел,1990,12,121.00,24.95,0.0609008,
оч╢щел,1991,1,121.00,24.95,2.81512,
оч╢щел,1991,2,121.00,24.95,2.0599,
оч╢щел,1991,3,121.00,24.95,2.86424,
оч╢щел,1991,4,121.00,24.95,3.87272,
оч╢щел,1991,5,121.00,24.95,2.04824,
оч╢щел,1991,6,121.00,24.95,7.99681,
оч╢щел,1991,7,121.00,24.95,0.0580024,
оч╢щел,1991,8,121.00,24.95,0.443868,
оч╢щел,1991,9,121.00,24.95,3.51895,
оч╢щел,1991,10,121.00,24.95,0.763838,
оч╢щел,1991,11,121.00,24.95,0.338517,
оч╢щел,1991,12,121.00,24.95,1.42611,
оч╢щел,1992,1,121.00,24.95,2.1798,
оч╢щел,1992,2,121.00,24.95,10.267,
оч╢щел,1992,3,121.00,24.95,3.98632,
оч╢щел,1992,4,121.00,24.95,6.01862,
оч╢щел,1992,5,121.00,24.95,5.88098,
оч╢щел,1992,6,121.00,24.95,5.87339,
оч╢щел,1992,7,121.00,24.95,0.95683,
оч╢щел,1992,8,121.00,24.95,4.75175,
оч╢щел,1992,9,121.00,24.95,2.87055,
оч╢щел,1992,10,121.00,24.95,3.35033,
оч╢щел,1992,11,121.00,24.95,0.491485,
оч╢щел,1992,12,121.00,24.95,1.99707,
оч╢щел,1993,1,121.00,24.95,2.8996,
оч╢щел,1993,2,121.00,24.95,0.428394,
оч╢щел,1993,3,121.00,24.95,4.7818,
оч╢щел,1993,4,121.00,24.95,3.88365,
оч╢щел,1993,5,121.00,24.95,4.89468,
оч╢щел,1993,6,121.00,24.95,16.8642,
оч╢щел,1993,7,121.00,24.95,0.709241,
оч╢щел,1993,8,121.00,24.95,0.811981,
оч╢щел,1993,9,121.00,24.95,0.33947,
оч╢щел,1993,10,121.00,24.95,1.46943,
оч╢щел,1993,11,121.00,24.95,1.65975,
оч╢щел,1993,12,121.00,24.95,1.06892,
оч╢щел,1994,1,121.00,24.95,1.5725,
оч╢щел,1994,2,121.00,24.95,7.57392,
оч╢щел,1994,3,121.00,24.95,3.48437,
оч╢щел,1994,4,121.00,24.95,1.62515,
оч╢щел,1994,5,121.00,24.95,6.59847,
оч╢щел,1994,6,121.00,24.95,1.87755,
оч╢щел,1994,7,121.00,24.95,2.42605,
оч╢щел,1994,8,121.00,24.95,10.7873,
оч╢щел,1994,9,121.00,24.95,1.92019,
оч╢щел,1994,10,121.00,24.95,2.51587,
оч╢щел,1994,11,121.00,24.95,0,
оч╢щел,1994,12,121.00,24.95,0.991999,
оч╢щел,1995,1,121.00,24.95,1.26846,
оч╢щел,1995,2,121.00,24.95,5.63023,
оч╢щел,1995,3,121.00,24.95,5.41011,
оч╢щел,1995,4,121.00,24.95,2.31829,
оч╢щел,1995,5,121.00,24.95,5.89423,
оч╢щел,1995,6,121.00,24.95,3.2771,
оч╢щел,1995,7,121.00,24.95,3.83296,
оч╢щел,1995,8,121.00,24.95,1.44808,
оч╢щел,1995,9,121.00,24.95,1.42908,
оч╢щел,1995,10,121.00,24.95,0.0129587,
оч╢щел,1995,11,121.00,24.95,0.151543,
оч╢щел,1995,12,121.00,24.95,0.33307,
оч╢щел,1996,1,121.00,24.95,0.0945746,
оч╢щел,1996,2,121.00,24.95,3.83096,
оч╢щел,1996,3,121.00,24.95,5.58099,
оч╢щел,1996,4,121.00,24.95,7.46988,
оч╢щел,1996,5,121.00,24.95,10.7825,
оч╢щел,1996,6,121.00,24.95,1.04724,
оч╢щел,1996,7,121.00,24.95,4.82746,
оч╢щел,1996,8,121.00,24.95,2.21581,
оч╢щел,1996,9,121.00,24.95,2.54956,
оч╢щел,1996,10,121.00,24.95,0.32514,
оч╢щел,1996,11,121.00,24.95,0.96143,
оч╢щел,1996,12,121.00,24.95,0.0253664,
оч╢щел,1997,1,121.00,24.95,0.993109,
оч╢щел,1997,2,121.00,24.95,5.53853,
оч╢щел,1997,3,121.00,24.95,3.82445,
оч╢щел,1997,4,121.00,24.95,2.26112,
оч╢щел,1997,5,121.00,24.95,4.77494,
оч╢щел,1997,6,121.00,24.95,16.1384,
оч╢щел,1997,7,121.00,24.95,2.0004,
оч╢щел,1997,8,121.00,24.95,4.77496,
оч╢щел,1997,9,121.00,24.95,2.78596,
оч╢щел,1997,10,121.00,24.95,0.774744,
оч╢щел,1997,11,121.00,24.95,0.610112,
оч╢щел,1997,12,121.00,24.95,1.29115,
оч╢щел,1998,1,121.00,24.95,4.00702,
оч╢щел,1998,2,121.00,24.95,12.5627,
оч╢щел,1998,3,121.00,24.95,6.41468,
оч╢щел,1998,4,121.00,24.95,4.76442,
оч╢щел,1998,5,121.00,24.95,4.70247,
оч╢щел,1998,6,121.00,24.95,6.42018,
оч╢щел,1998,7,121.00,24.95,1.24429,
оч╢щел,1998,8,121.00,24.95,2.59128,
оч╢щел,1998,9,121.00,24.95,5.1438,
оч╢щел,1998,10,121.00,24.95,7.78356,
оч╢щел,1998,11,121.00,24.95,0.163765,
оч╢щел,1998,12,121.00,24.95,2.11529,
оч╢щел,1999,1,121.00,24.95,1.32292,
оч╢щел,1999,2,121.00,24.95,0.0353914,
оч╢щел,1999,3,121.00,24.95,5.56694,
оч╢щел,1999,4,121.00,24.95,1.39906,
оч╢щел,1999,5,121.00,24.95,9.99511,
оч╢щел,1999,6,121.00,24.95,3.27364,
оч╢щел,1999,7,121.00,24.95,0.82179,
оч╢щел,1999,8,121.00,24.95,1.7964,
оч╢щел,1999,9,121.00,24.95,0.382389,
оч╢щел,1999,10,121.00,24.95,0.179423,
оч╢щел,1999,11,121.00,24.95,0.331841,
оч╢щел,1999,12,121.00,24.95,1.89192,
оч╢щел,2000,1,121.00,24.95,0.77224,
оч╢щел,2000,2,121.00,24.95,6.90957,
оч╢щел,2000,3,121.00,24.95,0.925925,
оч╢щел,2000,4,121.00,24.95,5.86369,
оч╢щел,2000,5,121.00,24.95,0.636934,
оч╢щел,2000,6,121.00,24.95,11.021,
оч╢щел,2000,7,121.00,24.95,2.98651,
оч╢щел,2000,8,121.00,24.95,5.70881,
оч╢щел,2000,9,121.00,24.95,1.69441,
оч╢щел,2000,10,121.00,24.95,3.57242,
оч╢щел,2000,11,121.00,24.95,3.84643,
оч╢щел,2000,12,121.00,24.95,3.91417,
оч╢щел,2001,1,121.00,24.95,4.90113,
оч╢щел,2001,2,121.00,24.95,0.85005,
оч╢щел,2001,3,121.00,24.95,4.53104,
оч╢щел,2001,4,121.00,24.95,5.13954,
оч╢щел,2001,5,121.00,24.95,5.25951,
оч╢щел,2001,6,121.00,24.95,2.0488,
оч╢щел,2001,7,121.00,24.95,5.16197,
оч╢щел,2001,8,121.00,24.95,1.45854,
оч╢щел,2001,9,121.00,24.95,29.8793,
оч╢щел,2001,10,121.00,24.95,0.353939,
оч╢щел,2001,11,121.00,24.95,0.0762555,
оч╢щел,2001,12,121.00,24.95,0.502436,
оч╢щел,2002,1,121.00,24.95,0.810416,
оч╢щел,2002,2,121.00,24.95,1.87667,
оч╢щел,2002,3,121.00,24.95,4.37117,
оч╢щел,2002,4,121.00,24.95,0.516625,
оч╢щел,2002,5,121.00,24.95,1.07149,
оч╢щел,2002,6,121.00,24.95,2.43597,
оч╢щел,2002,7,121.00,24.95,4.28688,
оч╢щел,2002,8,121.00,24.95,1.23867,
оч╢щел,2002,9,121.00,24.95,2.63338,
оч╢щел,2002,10,121.00,24.95,0.943579,
оч╢щел,2002,11,121.00,24.95,0.366116,
оч╢щел,2002,12,121.00,24.95,1.97973,
оч╢щел,2003,1,121.00,24.95,1.25152,
оч╢щел,2003,2,121.00,24.95,0.315208,
оч╢щел,2003,3,121.00,24.95,2.16178,
оч╢щел,2003,4,121.00,24.95,5.20549,
оч╢щел,2003,5,121.00,24.95,2.52683,
оч╢щел,2003,6,121.00,24.95,3.35893,
оч╢щел,2003,7,121.00,24.95,0.0720622,
оч╢щел,2003,8,121.00,24.95,0.108457,
оч╢щел,2003,9,121.00,24.95,0.688977,
оч╢щел,2003,10,121.00,24.95,0.110129,
оч╢щел,2003,11,121.00,24.95,0.161339,
оч╢щел,2003,12,121.00,24.95,0.0166376,
оч╢щел,2004,1,121.00,24.95,1.35783,
оч╢щел,2004,2,121.00,24.95,3.80517,
оч╢щел,2004,3,121.00,24.95,3.70113,
оч╢щел,2004,4,121.00,24.95,1.99873,
оч╢щел,2004,5,121.00,24.95,2.56971,
оч╢щел,2004,6,121.00,24.95,0.00140644,
оч╢щел,2004,7,121.00,24.95,4.71014,
оч╢щел,2004,8,121.00,24.95,7.22616,
